uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
1957842,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-01 00:00,-87.679356,41.760455,residence,residence,170316610002002
1958151,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-01 01:20,-87.633866,41.845496,vehicle parking,open space,170313404001004
1958164,Chicago,12A,personal robbery,robbery,property,2012-01-01 01:30,-87.638975,41.790773,street,street,170318346001013
1958184,Chicago,13B,simple assault,assault offenses,persons,2012-01-01 01:55,-87.661576,41.771624,residence,residence,170316716003012
1958359,Chicago,13B,simple assault,assault offenses,persons,2012-01-01 04:00,-87.650138,41.799021,street,street,170316121001010
1958443,Chicago,12A,personal robbery,robbery,property,2012-01-01 06:25,-87.761906,41.947994,street,street,170311507002005
1958537,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-01 09:00,-87.70109,41.792586,other,other,170316308001011
1958776,Chicago,22B,non-residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-01 13:18,-87.700719,42.004835,school,education,170310203013025
1958909,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-01 17:00,-87.655508,41.771769,other,other,170318349002021
1959034,Chicago,90Z,all other offenses,all other offenses,other,2012-01-01 20:00,-87.613952,41.761233,residence,residence,170316909005010
1959201,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-02 00:30,-87.666381,41.90746,residence,residence,170312416001006
1959270,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-02 05:30,-87.647502,41.742495,residence,residence,170317110002005
1959489,Chicago,13B,simple assault,assault offenses,persons,2012-01-02 14:00,-87.637936,41.70563,residence,residence,170314911001008
1959513,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-02 14:30,-87.634051,41.926524,street,street,170310701013006
1959612,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-02 17:10,-87.660111,41.861553,residence,residence,170318429003015
1959640,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-02 18:00,-87.624194,41.892753,restaurant,leisure,170310814032006
1959718,Chicago,90Z,all other offenses,all other offenses,other,2012-01-02 19:20,-87.676371,41.871107,residence,residence,170318382001019
1959869,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-02 23:40,-87.686247,41.99847,street,street,170310205004010
1960052,Chicago,26B,credit card/automated teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-03 09:00,-87.618607,41.70597,street,street,170314909022016
1960088,Chicago,90Z,all other offenses,all other offenses,other,2012-01-03 10:13,-87.727096,41.846045,street,street,170313018022015
1960275,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-03 14:43,-87.639235,41.868542,other,other,170318419002024
1960314,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-03 15:30,-87.604749,41.733551,street,street,170314407001019
1960356,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-03 16:12,-87.672436,41.769357,street,street,170316713003010
1960615,Chicago,520,weapon law violations,weapon law violations,society,2012-01-03 21:40,-87.763897,41.904261,street,street,170312507005020
1960656,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-03 23:00,-87.615568,41.777967,residence,residence,170314207005009
