country,date,protest_event,abuse,accident,aid,alcohol,allah,arrest,attack,bank,bankrupt,bombing,border,boss,broken,budget,business,certificate,children,church,clean_air,closed,community,construction,cost,court,credit_card,crew,crime,crops,curfew,currency,dating,debt,destroy,devalue,discriminate,drought,economic,economy,education,election,electricity,ethnic,exclude,expensive,export,family,flood,food,gamble,gambling,gas,gay,gender,god,government,grievance,health,healthcare,holiday,homosexual,house,housing,identity,import,industry,inflation,interest_rate,internet,invest,jobs,kill,language,license,loans,lottery,luxury,marriage,medicine,men,military,mobilize,mosque,move_out,moving,natural_disaster,no_work,official,open,organize,passport,pension,petrol,police,polls,pollution,porn,prison,property,prosecute,protest,race,ration,real_estate,reform,regulate,religion,rent,retire,riot,roads,sanitation,savings,services,sex,sharia,shortage,shutdown,sick,sports,stock,syndicate,target,tariff,tax,temple,terror,terrorist,ticket,unemploy,unemployment,union,violation,violence,visa,vote,water,wedding,wife,women,work,workers,youth,anger,angry,anxious,bored,boring,confident,depress,depression,happy,nervous,sad,stress
Algeria,2011-01-01,yes,18,22,6,12,23,0,28,29,0,7,0,7,13,17,19,23,18,3,0,0,9,20,8,17,6,20,5,0,0,13,9,0,12,0,0,0,4,0,5,7,0,0,0,0,11,27,14,13,11,0,43,44,0,62,6,0,7,7,16,0,37,0,21,13,5,0,0,45,30,32,28,24,31,0,3,11,13,15,37,5,0,12,0,0,0,0,17,45,11,9,4,4,31,31,13,67,5,4,0,0,14,0,0,0,0,18,30,0,0,0,0,15,24,59,0,0,10,7,11,16,0,31,0,11,10,9,6,7,0,0,4,11,13,26,5,11,31,47,34,20,0,6,15,12,0,7,0,0,0,6,52,0,38,24
Algeria,2011-02-01,yes,8,18,4,13,31,5,12,26,0,0,5,27,34,11,23,10,25,2,0,6,5,14,8,14,3,26,9,0,0,13,5,3,4,0,0,2,12,10,4,3,3,4,13,0,7,22,15,14,6,0,13,39,7,35,3,0,13,6,26,12,43,1,2,7,3,6,0,41,15,18,16,23,13,12,4,3,9,6,38,3,0,8,0,5,0,0,15,50,3,9,6,5,36,9,18,66,5,2,0,13,20,4,9,6,0,14,9,14,8,2,11,4,19,53,0,100,10,12,12,14,2,30,6,4,15,8,2,8,0,4,8,5,19,20,4,16,25,39,26,21,3,11,4,18,27,3,0,19,0,12,36,0,33,27
Algeria,2011-03-01,yes,6,16,4,9,35,0,17,27,0,4,7,25,36,11,18,7,17,3,0,4,9,13,16,15,3,22,10,0,0,10,4,3,4,0,0,4,11,2,4,2,2,3,0,2,4,20,9,13,0,0,17,38,4,28,3,0,12,2,25,3,41,4,11,6,3,4,0,43,18,16,14,19,13,0,4,13,9,12,42,3,0,5,0,3,0,51,12,37,5,9,3,9,34,9,14,66,5,4,0,45,17,5,11,6,0,14,10,14,8,6,0,5,15,55,0,0,9,7,17,14,2,33,0,7,15,4,4,19,0,4,9,6,15,19,4,13,30,39,32,22.5,3,8,9,26,0,6,25,10,0,9,38,3,47,20
Algeria,2011-04-01,yes,5,16,3,1,28,0,17,24,0,4,7,34,32,9,14,6,18,4,0,10,6,12,13,14,3,37,12,0,0,13,4,0,10,0,0,0,7,3,4,2,2,2,0,2,6,20,6,11,3,0,14,37,6,53,2,0,6,4,14,11,58,3,9,7,7,3,7,39,7,15,25,13,22,0,3,6,5,9,48,5,0,1,0,3,0,0,14,43,0,14,6,6,31,0,8,69,6,6,0,8,18,4,5,0,5,11,12,6,4,2,0,0,24,58,0,0,10,10,14,15,2,41,0,11,11,10,4,19,0,2,10,2,12,19,5,11,29,41,29,21,6,9,8,38,0,3,22,0,0,8,19,3,48,19
Algeria,2011-05-01,yes,8,22,3,4,36,0,14,22,0,2,3,27,42,5,19,2,20,2,0,3,2,15,13,14,6,27,9,0,0,10,4,6,10,0,0,4,9,0,4,3,7,5,12,0,2,18,10,11,6,0,14,40,6,38,3,0,7,0,15,17,45,3,7,6,8,9,0,40,10,17,15,16,22,11,4,3,11,4,44,5,0,6,0,6,8,0,11,32,0,9,6,5,29,8,14,63,7,3,0,8,22,4,8,3,0,14,8,6,4,0,0,0,22,54,0,0,5,9,17,15,2,35,0,20,13,11,3,13,0,2,9,4,16,19,2,10,94,47,25,17,3,8,10,22,0,2,0,18,0,18,25,0,54,20
Algeria,2011-06-01,yes,13,24,3,5,36,0,11,23,0,2,12,23,39,13,20,9,18,3,0,6,4,16,11,13,5,23,16,16,0,15,3,3,6,0,0,2,6,5,4,2,5,7,12,0,6,21,14,13,3,0,9,37,4,38,1,0,7,0,13,14,47,3,5,7,6,11,0,38,9,11,22,17,15,0,21,6,11,10,39,4,0,6,0,4,0,22,15,49,3,9,6,3,31,0,10,65,9,5,0,16,23,4,6,3,5,9,9,6,3,2,0,8,19,57,0,90,4,5,14,20,3,40,11,8,10,10,4,26,0,5,10,5,14,23,3,10,61,48,29,16,6,6,2,43,0,4,11,8,100,16,23,3,31,29
Algeria,2011-07-01,yes,2,22,3,5,36,5,18,23,0,0,5,29,37,11,17,9,14,4,0,5,8,15,21,15,8,31,19,23,0,10,3,6,13,0,0,2,9,3,4,2,3,2,0,2,3,25,5,12,0,0,12,39,6,54,3,0,7,2,16,26,51,1,8,8,4,7,7,38,10,17,23,13,18,4,7,9,9,5,67,7,0,6,0,14,0,23,15,47,4,13,5,5,40,0,5,67,8,1,0,8,23,3,3,3,0,13,12,13,4,2,0,4,20,58,13,0,12,8,11,17,4,38,6,10,14,5,3,13,0,0,8,4,9,23,4,9,52,38,32,17.5,6,6,2,60,0,6,11,9,0,11,29,0,43,24
Algeria,2011-08-01,no,15,22,5,12,32,0,17,25,0,2,10,30,54,9,16,3,20,2,0,4,6,10,7,11,8,31,12,6,0,11,4,6,14,0,0,2,6,1,5,2,3,2,0,2,6,33,5,9,9,0,9,39,2,65,2,0,8,4,15,3,49,1,6,5,4,4,0,40,3,16,30,10,13,4,19,12,14,8,66,10,0,8,0,9,0,24,17,45,0,9,6,5,44,0,2,72,10,5,0,8,21,3,5,0,0,10,12,7,11,0,0,4,15,60,7,0,8,13,11,10,0,60,0,10,9,9,6,18,0,2,9,1,8,28,4,8,47,42,35,18.5,6,7,4,55,0,4,12,18,0,7,34,3,48,12
Algeria,2011-09-01,yes,5,24,89,7,46,5,34,23,0,2,7,38,42,5,13,15,17,1,0,4,5,12,13,12,7,26,14,11,0,14,4,6,19,0,0,0,5,4,2,1,5,2,0,3,6,100,3,11,4,0,17,24,0,79,1,0,6,4,22,5,43,1,8,7,5,3,13,34,8,27,26,12,15,7,7,11,8,9,55,5,0,14,0,3,0,0,14,39,3,12,6,8,43,0,1,43,13,3,0,12,23,3,5,3,0,14,17,6,10,5,0,0,14,33,0,0,6,11,15,7,5,69,6,7,16,5,2,13,0,2,7,3,7,25,4,12,48,33,77,20,3,4,2,60,0,12,0,9,0,12,38,0,48,12
Algeria,2011-10-01,yes,6,26,10,8,32,4,16,24,0,3,9,22,38,11,16,11,15,3,0,8,6,14,9,13,6,32,19,10,0,17,3,12,0,0,0,2,5,0,4,1,2,2,0,3,5,32,4,15,5,0,15,43,5,46,3,0,10,3,31,13,50,1,9,8,7,2,0,37,14,19,20,13,19,0,8,5,10,10,67,2,0,4,0,11,0,0,13,63,0,10,3,6,34,0,4,75,8,2,0,11,16,1,6,2,0,15,9,0,3,5,0,4,15,62,0,0,9,14,14,13,5,54,5,7,9,6,8,19,0,2,8,3,10,26,5,10,40,50,41,18.5,3,3,4,59,0,6,20,24,0,12,33,0,34,12
Algeria,2011-11-01,yes,8,25,23,9,35,10,11,25,0,0,12,64,41,7,16,6,26,1,0,9,8,17,18,15,4,35,22,0,22,16,3,9,3,0,0,0,2,1,6,7,1,0,10,1,4,27,6,18,3,0,12,37,4,43,1,0,9,3,22,7,47,3,8,7,5,4,0,37,15,100,20,17,16,0,33,2,10,7,52,6,0,8,0,5,7,19,15,47,2,12,5,4,34,0,13,69,6,3,0,10,16,3,4,0,0,13,13,16,3,3,0,3,15,54,0,77,8,13,9,10,1,59,5,9,10,6,3,16,0,0,8,4,11,22,6,10,40,49,36,19,4,5,6,45,0,2,0,11,0,15,29,2,50,20
Algeria,2011-12-01,yes,7,16,55,12,41,4,11,25,0,0,8,77,42,12,21,13,22,6,0,6,7,14,19,10,5,18,24,10,0,12,3,9,9,0,0,3,7,3,5,3,4,0,11,3,5,26,9,16,5,0,12,34,8,44,2,0,10,0,20,10,45,2,11,6,4,6,6,38,12,21,17,18,19,0,13,0,10,10,55,7,0,10,0,3,14,20,15,50,3,9,4,2,34,7,16,71,5,8,0,7,21,5,4,7,0,11,14,6,3,6,0,0,17,55,11,0,9,11,14,15,5,56,10,13,11,5,3,23,0,5,10,5,13,23,5,8,52,45,42,20.5,8,10,5,58,0,5,0,11,90,10,36,8,42,21
Algeria,2012-01-01,yes,7,25,4,8,38,4,18,24,0,1,13,93,62,8,17,11,23,5,0,4,5,15,14,16,4,33,25,17,0,6,3,6,3,0,0,2,8,6,5,2,1,3,9,0,5,31,8,14,4,0,14,38,4,50,1,0,8,3,20,6,53,1,8,8,4,4,5,37,7,18,22,19,20,3,2,7,12,9,60,6,0,3,0,11,13,0,14,45,0,7,8,5,39,0,14,68,6,4,0,12,18,2,4,4,0,12,7,5,11,1,0,3,18,53,19,0,9,7,16,16,3,58,9,7,11,7,6,10,0,2,10,1,19,18,5,9,53,54,37,19.5,0,7,4,85,0,5,9,7,0,9,82,0,69,16
Algeria,2012-02-01,yes,6,21,3,11,35,0,11,23,0,1,13,39,68,12,21,2,21,2,0,9,10,15,15,14,3,25,29,9,0,9,2,4,13,0,0,0,5,4,5,3,7,2,0,0,5,28,3,16,4,0,13,33,6,41,6,0,10,6,17,6,51,3,7,8,5,3,10,34,11,22,13,22,18,0,3,9,10,15,49,4,0,6,0,6,0,17,12,51,3,9,5,5,33,6,16,63,5,1,0,6,22,5,4,4,0,10,10,14,8,1,0,0,20,51,14,0,10,10,19,14,0,49,4,7,14,3,3,13,0,3,8,5,22,19,5,13,35,48,30,19.5,4,7,3,68,0,3,43,20,0,11,52,4,47,21
Algeria,2012-03-01,no,9,20,4,4,44,0,13,19,0,2,8,45,63,10,17,11,14,2,0,8,4,17,9,15,6,17,14,14,0,10,4,7,5,0,0,2,5,3,5,5,6,6,0,0,6,24,4,13,5,57,18,33,12,41,2,0,8,2,19,2,49,1,6,7,5,4,0,34,6,17,22,17,16,3,1,2,10,11,47,7,0,7,0,1,7,0,14,38,2,9,4,6,31,13,12,65,5,5,0,7,17,5,4,9,0,13,9,0,10,3,0,3,15,52,10,0,7,11,15,13,10,37,5,10,17,8,3,14,0,2,9,5,20,16,13,12,32,41,32,19,2,4,9,59,0,6,27,7,0,14,47,5,50,21
Algeria,2012-04-01,no,6,25,4,5,41,4,14,20,0,0,3,40,73,10,20,9,16,2,0,8,8,14,16,14,7,26,14,4,0,11,4,4,0,0,0,1,7,2,4,9,4,0,0,1,5,27,4,11,2,0,11,36,7,43,1,0,7,3,20,0,40,2,8,6,4,4,0,32,10,18,24,14,21,0,4,6,12,7,44,7,0,6,0,6,6,0,18,35,2,9,4,4,29,6,10,72,4,4,0,6,21,4,9,0,4,16,10,0,11,0,0,0,19,55,5,0,9,12,15,11,14,41,4,8,16,12,6,10,0,1,6,6,13,18,14,10,44,50,30,18,0,7,3,100,0,6,25,13,0,10,41,4,49,22
Algeria,2012-05-01,yes,8,22,4,7,39,0,15,20,0,1,11,41,75,8,23,10,20,3,0,8,7,14,12,12,4,19,8,4,0,9,4,2,12,0,0,1,10,3,5,36,4,5,9,2,7,28,7,14,4,17,11,37,8,42,5,0,8,4,25,4,36,2,10,7,7,3,0,31,9,15,13,17,13,3,3,15,9,10,41,5,0,8,0,6,18,17,18,38,4,9,4,3,29,6,15,71,5,2,0,6,14,3,2,0,0,18,9,14,5,1,0,3,14,51,0,0,5,10,15,14,12,10,0,11,14,6,4,10,0,2,9,6,16,18,32,11,36,47,29,15.5,9,6,4,84,19,4,0,10,0,11,38,4,44,23
Algeria,2012-06-01,yes,11,21,3,6,43,14,14,22,0,0,8,31,100,10,19,3,14,3,0,13,5,15,10,17,6,23,15,0,0,5,6,9,5,0,0,1,7,4,6,86,6,3,9,2,6,27,5,13,4,17,14,39,8,48,2,0,5,4,14,12,43,2,9,6,4,3,0,30,4,15,19,19,19,3,32,9,12,9,50,8,0,2,0,7,0,17,14,38,3,7,7,2,30,12,8,76,5,3,0,6,20,5,6,2,0,12,13,9,8,1,0,3,16,53,5,0,6,6,9,13,6,17,9,15,15,3,6,15,0,3,7,3,16,21,100,10,53,48,56,18.5,4,8,7,74,0,3,16,6,0,15,38,0,47,20
Algeria,2012-07-01,yes,11,25,3,5,46,4,15,19,0,1,6,30,84,9,16,6,20,5,0,4,6,13,16,14,6,22,15,0,0,5,4,7,2,0,0,1,2,2,9,11,5,3,0,5,8,31,4,13,4,18,14,41,7,55,3,0,6,3,19,8,37,1,4,8,3,3,0,28,5,15,17,16,19,0,8,15,13,7,49,7,0,6,0,9,6,34,22,37,2,9,5,3,31,0,4,76,5,1,0,12,20,2,2,2,4,12,7,9,5,0,0,0,16,52,5,0,4,13,13,15,3,11,4,8,14,5,2,17,0,4,6,3,12,21,9,9,47,59,48,20,2,8,0,69,0,5,25,10,0,13,43,0,43,20
Algeria,2012-08-01,yes,15,23,5,6,49,4,19,28,20,1,5,36,76,8,13,9,16,4,0,5,6,12,11,15,4,20,9,4,0,8,4,3,15,0,0,2,4,2,4,2,2,2,0,4,6,37,8,14,3,18,11,37,4,65,1,0,8,4,9,0,41,1,4,7,4,2,0,31,8,18,20,12,18,0,6,16,11,15,53,6,0,8,0,8,0,0,23,36,0,9,7,3,36,0,1,67,7,3,0,0,18,3,6,2,0,10,11,0,8,1,0,0,14,42,5,0,4,5,11,8,3,12,5,7,19,6,2,25,0,1,5,5,9,24,4,11,58,47,33,23.5,2,6,9,89,0,3,0,7,0,7,40,4,45,12
Algeria,2012-09-01,yes,11,22,89,4,52,4,17,20,0,0,10,33,73,9,17,4,17,2,0,7,6,11,18,17,6,19,12,4,0,9,7,3,12,0,0,1,5,2,4,2,4,2,0,4,4,32,3,10,3,0,15,38,4,73,5,0,7,8,23,4,45,1,7,6,4,1,0,30,7,15,23,12,23,0,4,13,8,8,60,7,0,8,0,7,0,33,27,37,3,11,7,2,35,6,2,74,6,4,0,6,23,3,6,0,0,16,13,9,24,1,0,6,13,49,9,0,10,14,13,10,6,17,0,10,19,8,8,17,0,1,8,3,12,24,6,11,41,50,39,19,2,8,4,92,0,6,41,0,0,8,47,2,45,8
Algeria,2012-10-01,yes,10,29,11,6,65,4,16,23,0,0,10,21,69,10,15,10,14,2,0,5,7,15,10,13,4,18,15,0,0,11,8,0,10,0,0,0,9,5,5,3,4,2,0,1,4,28,3,13,3,34,12,44,3,54,3,0,7,1,19,8,45,2,4,5,3,2,5,34,11,22,19,15,25,3,10,4,11,9,64,8,0,5,0,3,6,0,18,44,0,11,7,3,30,0,7,89,4,0,0,9,20,5,4,0,0,12,11,9,9,4,7,3,15,55,18,68,10,12,12,14,1,11,0,7,15,6,5,14,0,3,8,4,9,25,4,9,51,54,42,21.5,4,5,7,73,0,3,16,20,0,11,34,4,55,13
Algeria,2012-11-01,yes,5,36,71,8,47,0,15,20,17,1,6,29,63,8,16,6,22,2,0,4,7,15,7,15,6,14,10,7,0,6,7,2,7,0,0,0,6,4,5,6,5,5,0,0,4,27,5,15,4,0,13,39,4,46,3,0,6,5,10,13,42,3,6,5,6,1,0,35,6,19,14,14,23,5,49,10,11,8,58,7,0,3,0,7,11,15,22,33,4,9,6,3,28,8,12,86,4,2,0,0,15,3,3,0,0,11,6,0,13,2,0,0,15,50,29,0,7,12,9,14,5,11,0,9,18,4,4,18,0,1,7,4,17,21,5,9,41,48,35,22,4,6,5,74,0,5,15,12,0,8,31,2,46,16
Algeria,2012-12-01,yes,4,46,6,5,39,5,15,23,0,1,7,50,47,9,20,9,15,5,0,6,6,14,14,14,6,16,14,0,0,9,5,3,7,0,0,0,4,2,7,40,4,3,16,3,6,30,2,12,4,16,15,42,5,38,2,0,7,2,10,6,39,3,7,11,7,4,0,32,10,18,17,18,19,7,16,10,9,10,48,5,0,6,0,6,0,30,21,34,2,8,4,5,25,5,14,87,4,2,0,0,15,2,4,10,0,13,10,8,10,2,0,3,15,47,25,61,6,6,13,12,0,15,4,6,20,4,3,15,0,2,5,3,16,21,42,10,38,55,30,20,2,5,1,67,0,3,15,6,0,14,35,0,45,20
Algeria,2013-01-01,yes,8,35,4,8,51,3,12,17,0,0,6,42,56,14,14,8,18,2,0,3,5,15,10,16,2,16,13,0,0,6,4,5,10,0,0,2,5,3,5,14,4,7,7,4,7,31,4,14,3,0,14,41,5,43,2,0,6,1,13,19,31,3,6,8,6,3,0,31,11,17,18,18,19,2,3,5,11,10,48,7,0,4,0,3,5,0,18,32,2,10,6,3,30,10,12,87,4,6,0,10,27,3,3,3,0,9,8,11,11,4,0,5,15,49,19,0,8,10,10,13,1,10,4,6,15,3,7,9,0,2,7,3,14,19,17,11,51,48,30,19,4,5,2,90,15,6,20,11,63,9,74,0,53,19
Algeria,2013-02-01,no,6,32,3,8,38,3,13,21,0,0,5,35,42,9,19,8,20,2,0,3,4,13,16,15,5,14,10,3,0,5,6,3,10,0,0,2,6,6,6,1,7,3,7,4,6,26,3,14,2,14,15,40,5,37,4,0,10,3,12,10,33,1,7,8,5,3,0,30,8,17,20,17,20,2,3,8,9,8,43,8,0,4,0,3,0,39,17,37,3,9,6,4,27,0,15,80,4,1,0,7,26,3,7,5,0,10,8,4,6,1,0,0,15,45,11,53,10,10,13,15,3,9,0,7,18,8,6,14,0,1,7,2,11,18,6,14,37,54,31,17.5,3,3,4,78,15,2,19,5,0,12,39,3,46,17
Algeria,2013-03-01,yes,8,24,5,6,42,0,19,21,0,0,11,39,47,8,18,7,17,3,0,4,7,14,7,15,6,19,8,3,0,7,4,4,16,0,0,5,8,5,8,1,8,1,0,2,7,27,4,16,7,14,14,41,5,41,3,0,7,1,15,5,41,2,12,7,6,6,0,28,12,14,17,18,17,4,2,13,5,8,47,7,0,2,0,2,0,14,16,37,0,8,5,3,25,5,15,81,5,4,0,5,23,5,5,3,0,13,8,8,9,4,0,0,16,47,15,0,8,8,11,13,4,15,5,8,21,4,2,15,0,2,6,3,17,21,4,13,36,55,32,18,5,7,7,82,0,3,0,14,0,11,41,4,40,20
Algeria,2013-04-01,yes,11,22,5,5,45,0,22,20,0,1,6,34,40,7,16,11,19,1,0,4,7,13,10,11,7,20,18,0,14,9,5,2,4,0,0,0,4,2,7,2,1,2,0,2,3,32,2,13,4,13,15,39,5,53,4,0,9,6,16,6,35,4,19,7,6,3,4,28,9,15,17,15,16,0,3,6,7,11,47,8,0,5,0,5,4,0,18,32,3,6,6,3,26,4,12,85,5,3,0,4,20,3,4,6,0,12,12,10,17,2,5,2,13,49,7,0,6,4,14,15,1,11,6,8,20,5,2,21,0,2,7,3,12,20,4,10,48,53,36,19,3,5,6,91,0,1,6,9,0,6,36,0,51,17
Algeria,2013-05-01,yes,11,29,3,3,44,3,28,20,14,4,9,38,46,11,14,6,17,2,0,5,6,14,10,14,7,15,10,6,0,7,5,5,7,0,0,1,7,5,7,1,3,3,13,3,5,26,4,14,2,0,9,40,5,43,2,0,7,6,13,8,33,3,11,6,5,6,4,27,4,18,15,15,22,0,3,5,7,10,49,8,0,7,0,3,9,0,16,34,2,7,9,4,29,4,15,82,4,5,0,4,20,3,8,3,0,14,10,7,11,2,0,2,13,50,10,51,9,7,10,15,0,17,3,14,24,3,3,20,0,3,5,6,14,22,2,12,56,55,33,19,5,9,2,71,0,5,6,10,0,9,34,6,46,20
Algeria,2013-06-01,yes,9,27,3,4,46,0,38,19,13,2,13,33,40,10,16,10,16,3,0,7,7,13,11,14,6,16,11,0,28,5,4,3,2,0,0,2,4,2,10,1,5,2,0,3,6,28,2,13,3,0,15,44,9,47,1,0,8,5,11,13,35,3,18,7,5,3,0,25,9,18,23,18,18,0,23,15,8,8,53,8,0,6,0,7,8,0,13,39,2,8,8,2,31,0,9,85,4,4,0,4,20,1,4,1,0,9,10,7,8,3,0,2,13,51,7,0,8,8,9,14,0,9,3,9,33,6,6,14,0,1,9,3,12,24,4,9,43,50,31,18,2,7,7,76,0,5,6,9,0,8,33,2,56,24
Algeria,2013-07-01,yes,12,38,4,5,36,5,36,17,13,1,7,31,34,9,18,6,14,1,0,2,5,11,11,12,5,16,10,6,14,5,6,5,17,0,0,1,3,2,8,2,3,2,0,2,6,33,2,10,5,0,13,42,4,58,2,0,7,3,23,10,32,0,10,7,5,0,3,24,4,15,18,11,20,0,6,8,10,8,55,4,0,5,0,6,0,0,24,34,0,8,5,1,32,4,4,84,5,2,0,17,16,2,3,3,2,9,8,10,12,3,0,2,12,52,16,48,10,7,9,11,5,8,0,4,20,6,3,10,0,1,8,3,6,21,3,10,54,53,32,17,8,6,1,76,0,4,23,9,0,8,40,1,49,16
Algeria,2013-08-01,yes,7,31,15,5,57,0,31,24,0,1,10,34,35,4,14,7,16,3,0,7,6,10,15,14,5,15,12,6,0,8,5,3,2,0,0,0,2,2,5,1,3,5,6,3,4,40,3,12,2,25,12,31,3,69,1,0,7,2,21,3,39,1,10,4,4,2,4,23,14,13,19,12,20,0,5,9,9,7,52,7,0,7,0,2,0,24,21,35,5,10,5,3,40,9,1,56,6,2,0,4,18,3,5,0,0,9,10,10,5,3,0,2,11,32,3,0,11,7,11,10,2,10,0,7,36,5,3,10,0,0,8,2,4,24,3,9,61,41,25,16.5,2,8,3,94,0,6,0,5,0,6,42,2,47,12
Algeria,2013-09-01,yes,13,28,92,4,45,4,38,19,0,1,7,42,30,11,13,7,18,3,0,10,9,10,12,18,5,18,15,6,0,9,7,2,5,0,0,1,3,2,4,2,2,0,0,3,3,32,4,10,3,0,13,52,4,62,0,0,8,3,27,5,36,2,9,5,4,2,7,25,10,17,21,9,19,6,7,10,9,4,64,5,0,6,0,12,0,0,29,37,2,9,5,3,32,0,1,100,6,4,0,13,22,1,4,0,0,15,15,0,17,4,0,0,10,58,17,51,7,7,10,7,3,13,6,5,34,7,3,21,0,0,7,3,8,25,4,9,63,60,40,17.5,2,12,6,84,0,4,6,5,0,10,41,0,57,10
Algeria,2013-10-01,yes,8,27,16,4,40,4,40,21,13,1,11,37,25,12,17,11,14,1,0,7,4,11,12,13,6,15,10,6,0,7,5,2,2,0,0,1,5,3,7,1,3,1,0,4,5,30,3,13,3,0,13,45,2,54,3,0,5,1,18,9,33,3,11,6,6,3,4,25,7,24,18,11,16,2,10,19,11,6,62,8,0,6,0,3,4,12,18,44,2,8,7,2,29,0,4,94,4,5,0,0,30,3,3,3,0,11,7,3,9,4,0,0,14,55,17,0,9,10,9,10,1,8,0,6,21,5,6,14,0,0,7,4,9,26,5,9,50,57,34,18,3,8,4,60,0,3,6,5,55,11,40,2,48,12
Algeria,2013-11-01,yes,10,40,76,6,43,2,33,22,0,1,9,40,26,10,16,8,17,1,0,6,5,11,10,18,6,16,10,0,0,8,4,3,5,0,0,0,6,3,9,1,3,2,6,4,6,32,4,19,4,0,13,45,3,49,4,0,7,5,13,8,36,3,8,8,4,2,0,27,3,19,20,13,22,2,41,7,7,12,56,10,0,5,0,9,0,34,19,32,4,8,6,3,28,4,10,90,5,3,0,4,19,2,6,3,0,12,8,3,12,2,5,4,13,53,16,46,11,8,11,13,2,14,3,6,23,5,3,14,0,2,8,3,10,23,3,10,43,56,30,18.5,3,8,2,66,0,3,28,18,0,11,39,0,51,12
