Week,Date, Topic, Assignment
1,August 26,Work Flow and Reproducibility,
2,September 2,Introduction to Programming in R,
3,September 9,Reproducibility in Practice,
4,September 16,Data Wrangling in R,Problem Set 1 Assigned
5,September 23,Data Visualization,Problem Set 1 Due
6,September 30,Web Scraping, Problem Set 2 Assigned
7,October 7,Geospatial Data,Problem Set 2 Due
8,October 14,Text as Data,Problem Set 3 Assigned
9,October 21,Introduction to Statistical Learning,Problem Set 3 Due
10,October 28,Applications in Supervised Learning (Regression),Project Proposal Due; Problem Set 4 Assigned
11,November 4,Applications in Supervised Learning (Classification),Problem Set 4 Due
12,November 11,Interpretable Machine Learning, Problem Set 5 Assigned
13,November 18,Applications in Unsupervised Learning, Problem Set 5 Due
14,December 2,Project Presentations,
Final,December 11,Final Project Due (9:00 PM),

